canonical_id,Experiment_Type,Category,Keywords,Primary_Tools,Required_Databases,Typical_Workflow,Data_Format,Notes
exp-bulk-rna,Bulk RNA-seq,Transcriptomics,"bulk RNA-seq,转录组测序,differential expression,RNA测序,count matrix,转录组",tool-pydeseq2;tool-biopython,db-geo;db-gene;db-kegg;db-reactome,wf-bulk-de,"CSV/TSV (genes x samples),h5ad",Most common transcriptomics experiment; requires biological replicates (n>=3)
exp-scrna-seq,Single-cell RNA-seq,Transcriptomics,"scRNA-seq,单细胞转录组,single cell,10X,cellranger,UMI,单细胞测序,cell atlas",tool-scanpy;tool-anndata,db-gene;db-uniprot,wf-scrna-seq,"h5ad,10X (mtx/tsv/barcode),CSV",Sparse data; requires QC for doublets and dead cells
exp-wgs,Whole Genome Sequencing,Genomics,"WGS,全基因组测序,whole genome sequencing,variant calling,SNV,indel,基因组",tool-bcftools;tool-biopython,db-clinvar;db-ensembl;db-gene,wf-variant-annot,"FASTQ/BAM/VCF",Requires reference genome; large data volumes (30x ~100GB)
exp-wes,Whole Exome Sequencing,Genomics,"WES,全外显子测序,exome sequencing,variant calling,exome,coding region",tool-bcftools;tool-biopython,db-clinvar;db-ensembl,wf-variant-annot,"FASTQ/BAM/VCF",Targets coding regions only (~1-2% of genome)
exp-gwas,GWAS,Genomics,"GWAS,全基因组关联,genome-wide association,SNP,association study,遗传关联",tool-matplotlib,db-geo;db-clinvar;db-gene,wf-gwas,PLINK/VCF,Requires large cohorts (n>1000); population stratification correction needed
exp-proteomics,Proteomics,Proteomics,"proteomics,蛋白质组学,mass spectrometry,LC-MS,蛋白质定量,shotgun proteomics",tool-biopython;tool-matplotlib,db-uniprot;db-string,wf-protein-struct,"mzML/mzXML/CSV",Tandem MS or label-free quantification
exp-metabolomics,Metabolomics,Metabolomics,"metabolomics,代谢组学,NMR,LC-MS,GC-MS,代谢物,untargeted metabolomics",tool-matplotlib,db-hmdb;db-kegg,wf-metabolomics,"mzML/CSV",Untargeted or targeted approaches; requires standard libraries
exp-chipseq,ChIP-seq,Epigenomics,"ChIP-seq,染色质免疫沉淀,transcription factor binding,histone modification,表观遗传",tool-biopython;tool-matplotlib,db-geo;db-gene;db-ensembl,wf-chipseq,"FASTQ/BAM/BED",Requires antibody quality control; input control needed
exp-atacseq,ATAC-seq,Epigenomics,"ATAC-seq,染色质可及性,open chromatin,transposase,染色质开放性",tool-biopython;tool-matplotlib,db-geo;db-gene;db-ensembl,wf-atacseq,"FASTQ/BAM/BED",Tn5 transposase-based; lower input requirement than ChIP-seq
exp-struct-pred,Protein structure prediction,Structural biology,"protein structure,结构预测,homology modeling,docking,AlphaFold,结构生物学",tool-biopython,db-uniprot;db-alphafold;db-pdb,wf-protein-struct,"PDB/mmCIF",AlphaFold for prediction; PDB for experimental structures
exp-drug-target,Drug target discovery,Pharmacology,"drug target,靶点发现,drug discovery,lead compound,HTS,药物发现",tool-matplotlib,db-opentargets;db-drugbank;db-clinicaltrials,wf-drug-target,"CSV/JSON",Multi-step target prioritization workflow
exp-clinvar,Clinical variant interpretation,Clinical genomics,"variant interpretation,变异解读,pathogenicity,ACMG,clinical significance,临床变异",tool-bcftools,db-clinvar;db-ensembl,wf-clinvar-interp,"VCF",Follow ACMG/AMP guidelines; check ClinVar star ratings
exp-qpcr,qPCR validation,Validation,"qPCR,实时荧光定量PCR,qPCR验证,fold change,基因表达验证,RT-qPCR",tool-qpcr;tool-matplotlib,db-gene,wf-qpcr-validation,"CSV (Ct values)",Validate DE results; 2^-ΔΔCt method; 3+ biological replicates
exp-imaging,Medical imaging analysis,Clinical imaging,"DICOM,医学影像,CT,MRI,medical imaging,clinical imaging,放射影像",tool-pydicom;tool-matplotlib,,wf-medical-imaging,"DICOM/DICOMDIR",Requires DICOM file access; patient privacy considerations
