canonical_id,Experiment_Category,Recommended_Pipeline,Tool_Priority,Database_Priority,Key_Parameters,Anti_Patterns,Decision_Rules,Severity
reason-transcriptomics,Transcriptomics,wf-bulk-de;wf-scrna-seq,tool-pydeseq2;tool-scanpy;tool-biopython;tool-anndata,db-geo;db-gene;db-kegg;db-reactome,"min_counts=10; padj<0.05; target_sum=1e4; n_top_genes=2000; min_replicates=3","Do NOT use PyDESeq2 for single-cell data (use Scanpy rank_genes_groups); Do NOT skip gene filtering; Do NOT use raw p-values for DE; Do NOT ignore batch effects","IF data_type=single_cell THEN use Scanpy rank_genes_groups; IF data_type=bulk THEN use PyDESeq2; IF replicates<3 THEN warn('insufficient replicates for statistical power'); IF batch_effect detected THEN add batch to design formula; IF n_genes<100 THEN check filtering stringency",high
reason-genomics,Genomics,wf-variant-annot;wf-gwas,tool-bcftools;tool-biopython,db-clinvar;db-ensembl;db-gene,"genome_build=GRCh38; min_quality=20; clinvar_significance=pathogenic/likely_pathogenic; min_depth=10","Do NOT mix genome builds without liftOver; Do NOT use ClinVar variants >10kb; Do NOT ignore ClinVar review status stars; Do NOT assume GRCh37 coordinates work on GRCh38","IF genome=GRCh37 THEN use grch37.rest.ensembl.org; IF variants>1000 THEN use batch processing; IF conflicting_interpretations THEN check star rating and submitter count; IF population_frequency>0.01 in gnomAD THEN likely benign",high
reason-systems,Systems biology,wf-pathway-enrich;wf-ppi-network,tool-biopython;tool-matplotlib,db-kegg;db-reactome;db-string;db-go,"pvalue_cutoff=0.05; min_gene_set=5; correction_method=BH; min_genes_for_enrichment=10","Do NOT use uncorrected p-values for enrichment; Do NOT enrich with <5 genes; Do NOT use STRING for pathway-only analysis (use KEGG/Reactome); Do NOT ignore gene set size bias","IF species=human THEN prefer Reactome; IF species!=human THEN prefer KEGG; IF network_analysis THEN use STRING first; IF DE_gene_count<10 THEN enrichment may be unreliable",medium
reason-structural,Structural biology,wf-protein-struct,tool-biopython;tool-matplotlib,db-uniprot;db-alphafold;db-pdb,"pLDDT_threshold=70; PAE_threshold=30; alignment_cutoff=0.3","Do NOT trust AlphaFold predictions with pLDDT<50; Do NOT use predicted structures for drug docking without validation; Do NOT ignore experimental structures if available","IF experimental_structure_exists THEN prefer PDB; IF pLDDT<50 THEN warn('low confidence prediction'); IF drug_discovery THEN validate with experimental data or docking benchmark; IF PAE>30 THEN region may be disordered",medium
reason-pharmacology,Pharmacology,wf-drug-target,tool-matplotlib,db-opentargets;db-drugbank;db-clinicaltrials,"evidence_score_threshold=0.5; tractability_cutoff=medium; min_evidence_sources=2","Do NOT skip safety assessment for any target; Do NOT rely on single evidence source; Do NOT ignore failed clinical trials; Do NOT assume druggability without tractability data","IF target_novel THEN check OpenTargets genetics evidence first; IF drug_already_approved THEN check DrugBank for mechanism; IF safety_concern THEN flag for expert review; IF phase3_trial_exists THEN high confidence",medium
reason-metabolomics,Metabolomics,wf-metabolomics,tool-matplotlib,db-hmdb;db-kegg,"identification_confidence=level2; pathway_pvalue<0.05; min_metabolites=5","Do NOT use HMDB for non-human metabolites without species check; Do NOT skip NMR/MS validation for identification; Do NOT ignore isomer distinctions; Do NOT conflate relative and absolute quantification","IF MS_data THEN use HMDB MS spectra for matching; IF NMR_data THEN use HMDB NMR spectra; IF pathway_analysis THEN cross-reference KEGG; IF identification_level<2 THEN flag as putative",medium
reason-epigenomics,Epigenomics,wf-chipseq;wf-atacseq,tool-biopython;tool-matplotlib,db-geo;db-gene;db-ensembl,"peak_fdr<0.01; min_fold_enrichment=5; narrow_peak for TF; broad_peak for histone","Do NOT skip input control for ChIP-seq; Do NOT use MACS2 without checking fragment size; Do NOT ignore replicate concordance; Do NOT skip Tn5 offset for ATAC-seq","IF experiment=ChIP-seq AND target=TF THEN use narrow_peak; IF experiment=ChIP-seq AND target=histone THEN use broad_peak; IF experiment=ATAC-seq THEN apply Tn5 offset correction; IF FRiP<0.01 THEN low signal quality",high
reason-clinical,Clinical genomics,wf-clinvar-interp,tool-bcftools;tool-biopython,db-clinvar;db-ensembl,"ACMG_classification=required; review_status>=2stars; population_frequency_check=gnomAD; min_quality=30","Do NOT use VUS for clinical decisions; Do NOT ignore conflicting interpretations; Do NOT use ClinVar without checking review status; Do NOT skip population frequency filtering","IF ACMG=P/LP AND stars>=2 THEN clinical_use; IF VUS THEN research_only; IF conflicting_interpretations THEN manual_curation_required; IF population_frequency>0.01 THEN likely benign regardless of ACMG",critical
reason-validation,Validation,wf-qpcr-validation,tool-qpcr;tool-matplotlib,db-gene,"replicates>=3; reference_genes>=2; efficiency_range=90-110%; R2>0.98","Do NOT use single reference gene; Do NOT skip efficiency calibration; Do NOT pool technical replicates with biological replicates; Do NOT use ΔΔCt for non-primer-efficiency-matched assays","IF efficiency<90 OR efficiency>110 THEN recalibrate primers; IF Ct>35 THEN consider below detection limit; IF reference_gene_variance>0.5 THEN use geometric mean of multiple references",medium
reason-imaging,Clinical imaging,wf-medical-imaging,tool-pydicom;tool-matplotlib,,"anonymize_phi=true; window_level_check=true; slice_thickness_consistency=true","Do NOT store unanonymized DICOM in analysis directories; Do NOT ignore window/level settings for CT; Do NOT mix slice thicknesses without registration","IF CT THEN check Hounsfield unit calibration; IF MRI THEN check sequence type consistency; IF patient_data THEN anonymize before processing",medium
