canonical_id,Database_Name,API_Type,Data_Type,Keywords,Primary_Use_Case,Best_For,Limitations,Example_Queries,Related_Tools,Skill_Name,Installed
db-kegg,KEGG,REST,Pathways/Genes/Compounds,"KEGG,通路,代谢,pathway,metabolism,glycolysis,基因通路映射,enzyme,compound",Pathway analysis and gene-pathway mapping,Pathway enrichment analysis and metabolic network exploration,"Academic use only; max 10 entries per operation; rate-limited without API key","KEGG通路查询,代谢通路分析,glycolysis pathway",biopython;bioservices,kegg-database,yes
db-reactome,Reactome,REST,Pathways/Reactions,"Reactome,通路富集,pathway enrichment,reaction,molecular interaction,disease pathway,信号通路",Pathway enrichment and gene-pathway mapping,Overrepresentation analysis and expression analysis,"Limited to curated human pathways; requires gene/protein ID input","通路富集分析,Reactome通路查询,Reactome enrichment",bioservices,reactome-database,yes
db-clinvar,ClinVar,E-utilities/FTP,Variant clinical significance,"ClinVar,变异致病性,variant,pathogenic,benign,VUS,临床意义,VCF注释,germline",Variant clinical significance lookup,"Annotating VCF files with clinical significance; interpreting pathogenicity","VCF excludes variants >10kb; rate limits 3-10 req/s; weekly updates only","ClinVar致病性查询,BRCA1 pathogenic variants,variant annotation",biopython;bcftools,clinvar-database,yes
db-ensembl,Ensembl,REST,Genome annotations,"Ensembl,基因组注释,gene annotation,VEP,ortholog,transcript,基因坐标,variant effect,assembly mapping",Gene annotation and variant effect prediction,"Gene lookups; sequence retrieval; comparative genomics; assembly mapping","Rate limit 15 req/s; requires correct species identifier","Ensembl基因查询,BRCA2 gene coordinates,VEP variant effect",bioservices;biopython,ensembl-database,yes
db-opentargets,OpenTargets,GraphQL,Target-disease associations,"Open Targets,靶点发现,drug target,target-disease,druggability,safety,therapeutic target,tractability",Target-disease association discovery,"Drug target prioritization; tractability assessment; safety evaluation","GraphQL complexity limits; not a primary clinical resource","靶点-疾病关联查询,drug target for breast cancer,target tractability",,opentargets-database,yes
db-string,STRING,REST,Protein-protein interactions,"STRING,PPI,蛋白互作,protein interaction,network,GO enrichment,KEGG enrichment,interaction score",Protein interaction network analysis,"PPI network construction; functional enrichment; interaction discovery","Confidence scores vary; 5000+ species but coverage uneven","蛋白互作网络查询,PPI network analysis,GO enrichment",biopython,string-database,yes
db-uniprot,UniProt,REST,Protein sequences/annotations,"UniProt,蛋白质,protein,FASTA,Swiss-Prot,序列查询,ID mapping,protein annotation,sequence retrieval",Protein sequence and annotation retrieval,"FASTA retrieval; ID mapping; protein function annotation; batch queries","TrEMBL unreviewed; streaming needed for large batches","UniProt蛋白质查询,protein FASTA retrieval,ID mapping",bioservices;biopython,uniprot-database,yes
db-pdb,PDB,REST/FTP,3D protein structures,"PDB,蛋白质结构,protein structure,crystal structure,mmCIF,结构生物学,RCSB",3D macromolecular structure retrieval,"Experimental structure download; structural similarity search; drug discovery","Only experimentally determined structures (~220K entries)","PDB结构查询,protein crystal structure,RCSB search",biopython;alphafold-database,pdb-database,yes
db-alphafold,AlphaFold,REST/GCS,AI-predicted structures,"AlphaFold,蛋白质结构预测,predicted structure,pLDDT,PAE,AI structure,UniProt structure,structure prediction",AI-predicted protein structure access,"Structure prediction for proteins lacking experimental structures; confidence metrics","Predictions not experimentally verified; very large download sizes","AlphaFold结构下载,predicted protein structure,pLDDT confidence",pdb-database;biopython,alphafold-database,yes
db-drugbank,DrugBank,REST/Web,Drug information,"DrugBank,药物信息,drug interaction,target pathway,pharmacology,drug target,approved drug",Drug and drug target information retrieval,"Drug-target interactions; pharmacology; approved drug lookup","Academic license needed for full access; commercial requires license","DrugBank药物查询,drug-target interactions,approved drugs",biopython,drugbank-database,yes
db-hmdb,HMDB,REST/XML/FTP,Metabolite data,"HMDB,代谢组学,metabolomics,metabolite,biomarker,NMR,MS,代谢物,metabolite identification",Metabolite information retrieval,"Metabolomics; biomarker discovery; NMR/MS spectra retrieval","Human-specific; XML parsing complex for bulk data","代谢物查询,HMDB metabolite search,biomarker data",bioservices,hmdb-database,yes
db-geo,GEO,E-utilities/FTP,Gene expression datasets,"GEO,GSE,GSM,基因表达,gene expression,转录组,transcriptomics,microarray,RNA-seq dataset,expression data",Gene expression dataset retrieval,"Downloading public expression datasets; finding comparable studies","Large downloads may require FTP; metadata quality varies","GEO数据集下载,GSE dataset search,gene expression data",pydeseq2;scanpy;biopython,geo-database,yes
db-gene,NCBI Gene,E-utilities/Datasets API,Gene information,"NCBI Gene,基因查询,gene annotation,RefSeq,GO,基因功能,gene function,gene ID,RefSeq",Gene annotation and lookup,"Batch gene lookups; RefSeq retrieval; GO annotation; phenotype data","Rate limits apply; gene-centric (not protein/variant)","基因信息查询,NCBI Gene lookup,batch gene query",biopython;bioservices,gene-database,yes
db-clinicaltrials,ClinicalTrials,REST v2,Clinical trial data,"ClinicalTrials,临床试验,clinical trial,NCT,phase,recruitment,study design,intervention",Clinical trial search and retrieval,"Finding relevant trials; checking recruitment status; trial design analysis","Rate limit ~50 req/min; not all trials have detailed results","临床试验查询,lung cancer clinical trials,NCT ID lookup",,clinicaltrials-database,yes
db-pubmed,PubMed,E-utilities,Biomedical literature,"PubMed,文献,论文,biomedical literature,citation,PMID,生物医学文献,abstract,reference finding",Biomedical literature search,"Reference finding; citation tracking; systematic review support","Rate limits; abstract only (no full text); requires PMCID for open access","PubMed文献搜索,literature search,citation query",biopython,ai4scholar-integration,external
db-biorxiv,bioRxiv,REST,Biology preprints,"bioRxiv,预印本,preprint,biology,bioRxiv DOI,preprint server",Biology preprint access,"Accessing latest research before peer review; DOI-based retrieval","Not peer-reviewed; no DOI minting delay","bioRxiv预印本查询,preprint download",,ai4scholar-integration,external
db-semanticscholar,Semantic Scholar,REST,Academic search/citations,"Semantic Scholar,citations,paper search,academic,论文搜索,引用网络,paper recommendations",Academic paper search and citation analysis,"Paper recommendations; citation graph exploration; author search","Rate limits; coverage varies by field","Semantic Scholar论文搜索,citation network,author papers",,ai4scholar-integration,external
db-go,Gene Ontology,REST/OWL,Functional annotations,"GO,Gene Ontology,基因本体,functional annotation,molecular function,biological process,cellular component",Gene function annotation and enrichment analysis,"Functional annotation of gene sets; enrichment analysis; ontology browsing","Complex ontology structure; multiple evidence codes","GO功能注释,Gene Ontology enrichment,molecular function",bioservices,biopython,external
db-gnomAD,gnomAD,REST/Browser,Population variant frequencies,"gnomAD,群体频率,population frequency,allele frequency,variant frequency,genome aggregation",Population variant frequency lookup,"Population frequency filtering; variant rarity assessment; ancestry analysis","Limited to cohorts studied; no indel frequencies in some releases","gnomAD频率查询,population frequency,allele frequency",,biopython,external
db-clingen,ClinGen,REST,Clinical gene resources,"ClinGen,临床基因,dosage sensitivity,actionability,gene validity,clinical gene curation",Clinical gene-level resource access,"Gene validity assessment; dosage sensitivity; actionability scores","Not all genes curated; expert panel dependency","ClinGen基因评估,gene validity,dosage sensitivity",,clinvar-database,external
