canonical_id,Tool_Name,Category,Input_Type,Output_Type,Keywords,Best_For,Dependencies,Skill_Name,Example_Workflow,Installed
tool-scanpy,Scanpy,Single-cell analysis,"h5ad,10X,CSV","h5ad,plots,CSV","scanpy,单细胞,scRNA-seq,UMAP,t-SNE,聚类,clustering,QC,归一化,normalization,cell type annotation,marker gene,高变基因",Single-cell RNA-seq QC/normalization/clustering/visualization,"anndata;matplotlib;numpy;scipy",scanpy,"1.Load h5ad; 2.QC filter; 3.Normalize; 4.HVG; 5.PCA; 6.Neighbors; 7.UMAP; 8.Leiden; 9.Marker genes; 10.Cell type annotation",yes
tool-pydeseq2,PyDESeq2,Differential expression,"CSV counts,CSV metadata","CSV results,plots","pydeseq2,DESeq2,差异表达,differential expression,bulk RNA-seq,Wald test,FDR,volcano plot,MA plot,差异分析,count matrix",Bulk RNA-seq differential expression analysis,"pandas;numpy;scipy;anndata",pydeseq2,"1.Load counts+metadata; 2.Filter low counts; 3.DeseqDataSet; 4.deseq2(); 5.DeseqStats; 6.summary(); 7.LFC shrink; 8.Export results",yes
tool-biopython,Biopython,Sequence/structure analysis,"FASTA,GenBank,PDB,FASTQ","FASTA,phylo trees,alignment","biopython,序列分析,FASTA,BLAST,phylogenetic,进化树,序列比对,sequence alignment,Entrez,NCBI,sequence manipulation",Sequence manipulation; file parsing; BLAST; phylogenetics; NCBI access,numpy,biopython,"1.Parse FASTA; 2.Translate; 3.BLAST search; 4.Parse results; 5.Build phylo tree",yes
tool-anndata,AnnData,Data structure,"h5ad,CSV,zarr,loom","h5ad","anndata,h5ad,AnnData,单细胞数据格式,obs,var,sparse matrix,数据拼接,data concatenation,annotated matrix",Storing/manipulating annotated data matrices for single-cell analysis,"numpy;scipy;h5py",anndata,"1.Create AnnData; 2.Add obs/var; 3.Concatenate; 4.Write h5ad",yes
tool-bioservices,BioServices,Multi-database access,"Protein/compound IDs","JSON/XML","bioservices,多数据库查询,cross-database,ID mapping,UniProt,KEGG,ChEMBL,Reactome,unified interface,多服务访问",Cross-database queries; ID mapping; unified API to 40+ services,requests,bioservices,"1.UniProt search; 2.KEGG pathway; 3.ChEMBL compound; 4.ID mapping",yes
tool-matplotlib,matplotlib/seaborn,Visualization,"CSV,arrays","PNG/PDF/SVG plots","matplotlib,seaborn,可视化,visualization,plotting,图表,figure,科研图表,publication figure,scientific plot,heatmap,scatter",Publication-quality scientific figures,"pandas;numpy",pub-figures,"1.Load data; 2.Set style; 3.Create figure; 4.Customize; 5.Save",yes
tool-bcftools,bcftools,Variant analysis,"VCF,BCF","VCF,filtered VCF","bcftools,VCF,variant filtering,注释,annotation,ClinVar annotation,variant calling,filter",VCF file manipulation and variant filtering,htslib (external),,"1.bcftools view; 2.bcftools filter; 3.bcftools annotate; 4.bcftools stats",external
tool-pydicom,Pydicom,Medical imaging,"DICOM files","DICOM/PNG/NIfTI","DICOM,医学影像,medical imaging,CT,MRI,DICOM anonymization,PACS,CT/MRI",Reading/writing DICOM medical imaging files,numpy,pydicom,"1.Read DICOM; 2.Extract metadata; 3.Anonymize; 4.Convert; 5.Save",yes
tool-qpcr,qPCR GraphPad formatter,qPCR analysis,"CSV Ct values","CSV formatted","qPCR,GraphPad,fold change,delta delta Ct,Ct值转换,qPCR数据格式化,ΔΔCt,real-time PCR",Formatting qPCR data for GraphPad Prism with 2^-ΔΔCt method,,qpcr-graphpad-formatter,"1.Load CSV; 2.Calculate ΔCt; 3.Calculate ΔΔCt; 4.Calculate fold change; 5.Format for Prism",yes
tool-pubfigures,pub-figures,Scientific visualization,"CSV,data arrays","PNG/PDF/SVG","pub-figures,科研图表,publication figure,figure formatting,journal figure,scientific visualization",Creating publication-ready scientific figures,"matplotlib;seaborn",pub-figures,"1.Choose figure type; 2.Set journal style; 3.Plot data; 4.Annotate; 5.Export",yes
tool-samtools,samtools,Alignment analysis,"FASTQ,BAM,CRAM,SAM","BAM,sorted BAM,stats","samtools,BAM,SAM,alignment,sort,index,variant calling,sequencing data",BAM/SAM file manipulation and alignment statistics,htslib (external),,"1.samtools view; 2.samtools sort; 3.samtools index; 4.samtools stats",external
