canonical_id,Workflow_Name,Category,Steps,Required_Tools,Required_Databases,Keywords,Best_For,Estimated_Time
wf-scrna-seq,Single-cell RNA-seq standard pipeline,Transcriptomics,"1.QC过滤; 2.归一化; 3.高变基因选择; 4.PCA降维; 5.邻居图; 6.UMAP/t-SNE; 7.Leiden聚类; 8.Marker基因; 9.细胞类型注释",tool-scanpy;tool-anndata,db-gene;db-uniprot,"单细胞分析,scRNA-seq pipeline,QC,normalization,UMAP,clustering,cell annotation",Standard scRNA-seq exploratory analysis,2-4 hours
wf-bulk-de,Bulk RNA-seq differential expression,Transcriptomics,"1.加载count矩阵; 2.过滤低count基因; 3.构建DESeqDataSet; 4.拟合模型; 5.统计检验; 6.LFC收缩; 7.导出结果; 8.火山图",tool-pydeseq2;tool-matplotlib,db-geo;db-gene;db-kegg,"差异表达分析,differential expression,bulk RNA-seq,DESeq2,volcano plot",Bulk RNA-seq two-group comparison,1-2 hours
wf-variant-annot,Variant annotation pipeline,Genomics,"1.下载ClinVar VCF; 2.bcftools注释; 3.过滤致病性变异; 4.VEP预测; 5.汇总报告",tool-bcftools;tool-biopython,db-clinvar;db-ensembl,"变异注释,variant annotation,VCF,ClinVar,VEP,pathogenic variants",Annotating VCF files with clinical significance,2-3 hours
wf-pathway-enrich,Pathway enrichment analysis,Systems biology,"1.准备基因列表; 2.KEGG通路映射; 3.Reactome富集分析; 4.可视化通路图; 5.统计显著性",tool-biopython;tool-matplotlib,db-kegg;db-reactome;db-string,"通路富集分析,pathway enrichment,KEGG enrichment,Reactome,gene set analysis",Functional enrichment of DE gene lists,1-2 hours
wf-protein-struct,Protein structure analysis,Structural biology,"1.查询UniProt ID; 2.下载AlphaFold结构; 3.分析pLDDT置信度; 4.对比PDB实验结构; 5.活性位点分析",tool-biopython;tool-matplotlib,db-uniprot;db-alphafold;db-pdb,"蛋白质结构分析,protein structure,AlphaFold,PDB,pLDDT,structure comparison",Comparing predicted vs experimental structures,1-2 hours
wf-drug-target,Drug target discovery,Pharmacology,"1.疾病-靶点关联查询; 2.靶点可药性评估; 3.安全性评估; 4.已知药物查询; 5.临床试验查询",tool-matplotlib,db-opentargets;db-drugbank;db-clinicaltrials,"靶点发现,drug target discovery,target-disease,druggability,target prioritization",Identifying and prioritizing drug targets for a disease,2-4 hours
wf-metabolomics,Metabolomics analysis,Metabolomics,"1.代谢物查询; 2.通路映射; 3.生物标志物分析; 4.NMR/MS谱图分析; 5.统计分析",tool-matplotlib,db-hmdb;db-kegg,"代谢组学分析,metabolomics,HMDB,biomarker,NMR,MS,metabolite identification",Metabolite identification and pathway analysis,2-3 hours
wf-gwas,GWAS analysis pipeline,Genomics,"1.数据准备; 2.质控; 3.关联分析; 4.曼哈顿图; 5.QQ图; 6.精细定位",tool-matplotlib,db-geo;db-clinvar;db-gene,"GWAS,全基因组关联,genome-wide association,Manhattan plot,Q-Q plot,GWAS pipeline",Genome-wide association study analysis,4-8 hours
wf-chipseq,ChIP-seq analysis,Epigenomics,"1.数据获取; 2.质量控制; 3.序列比对; 4.peak calling; 5.peak注释; 6.motif分析; 7.可视化",tool-biopython;tool-matplotlib,db-geo;db-gene;db-ensembl,"ChIP-seq,peak calling,染色质免疫沉淀,chip sequencing,peak annotation",ChIP-seq peak calling and annotation pipeline,3-5 hours
wf-atacseq,ATAC-seq analysis,Epigenomics,"1.数据获取; 2.质量控制; 3.比对; 4.peak calling; 5.开放染色质区域注释; 6.motif分析",tool-biopython;tool-matplotlib,db-geo;db-gene;db-ensembl,"ATAC-seq,开放染色质,open chromatin,chromatin accessibility,peak calling",ATAC-seq chromatin accessibility analysis,3-5 hours
wf-clinvar-interp,Clinical variant interpretation,Clinical genomics,"1.VCF质控; 2.ClinVar注释; 3.人群频率过滤; 4.ACMG分类; 5.临床意义判定; 6.报告生成",tool-bcftools;tool-biopython,db-clinvar;db-ensembl,"变异解读,variant interpretation,ACMG,pathogenicity,clinical significance,ClinVar",Interpreting clinical significance of genetic variants,1-3 hours
wf-rna-seq-full,Full RNA-seq pipeline (alignment to DE),Transcriptomics,"1.FASTQ质控; 2.基因组比对; 3.计数; 4.差异表达; 5.功能富集; 6.可视化",tool-pydeseq2;tool-matplotlib;tool-biopython,db-geo;db-gene;db-kegg;db-reactome,"RNA-seq全流程,RNA-seq complete pipeline,alignment,differential expression,enrichment",Complete bulk RNA-seq from FASTQ to biological insight,4-8 hours
wf-ppi-network,Protein interaction network analysis,Systems biology,"1.蛋白列表准备; 2.STRING查询; 3.网络构建; 4.聚类分析; 5.GO富集; 6.可视化",tool-biopython;tool-matplotlib,db-string;db-uniprot,"蛋白互作网络,PPI network,protein interaction,STRING,network analysis,GO enrichment",Building and analyzing protein-protein interaction networks,1-2 hours
wf-qpcr-validation,qPCR validation workflow,Validation,"1.设计引物; 2.运行qPCR; 3.收集Ct值; 4.ΔΔCt计算; 5.数据格式化; 6.GraphPad绘图",tool-qpcr;tool-matplotlib,db-gene,"qPCR验证,qPCR validation,fold change,ΔΔCt,引物设计,primer design",Validating RNA-seq DE results with qPCR,1-2 hours
wf-medical-imaging,Medical imaging analysis,Clinical imaging,"1.加载DICOM; 2.提取元数据; 3.图像处理; 4.匿名化; 5.格式转换; 6.分析",tool-pydicom;tool-matplotlib,,"DICOM分析,medical imaging,CT analysis,MRI analysis,DICOM anonymization",Processing and analyzing DICOM medical images,1-3 hours
